Time,Image Name,Latitude,Longitude,Altitude,Albedo,Temperature
14:43:20,image_97,"(40.0, 56.0, 14.36075)","(65.0, 13.0, 45.82618)",429864,0.469190136,249.9187913
14:43:50,image_98,"(42.0, 1.0, 38.00921)","(63.0, 13.0, 37.91363)",430169,0.528331955,242.5600436
14:44:20,image_99,"(43.0, 4.0, 35.53007)","(61.0, 9.0, 6.97568)",430458,0.444937463,252.5514059
14:44:50,image_100,"(44.0, 4.0, 55.47349)","(59.0, 0.0, 6.50664)",430728,0.381978535,259.3456935
14:45:20,image_101,"(45.0, 2.0, 32.29462)","(56.0, 46.0, 16.68288)",430979,0.377397129,259.7493255
14:45:50,image_102,"(45.0, 56.0, 54.13848)","(54.0, 28.0, 23.36178)",431208,0.457220986,250.9239182
14:46:20,image_103,"(46.0, 48.0, 18.1458)","(52.0, 5.0, 11.21183)",431415,0.688158258,218.4065429
14:46:50,image_104,"(47.0, 36.0, 10.46682)","(49.0, 37.0, 39.74592)",431598,0.593528497,233.3176091
14:47:20,image_105,"(48.0, 20.0, 30.80526)","(47.0, 5.0, 18.281)",431757,0.38239558,258.9927508
14:47:50,image_106,"(49.0, 0.0, 55.45796)","(44.0, 28.0, 57.729)",431890,0.318918961,265.364502
14:48:20,image_107,"(49.0, 37.0, 25.60631)","(41.0, 48.0, 2.35674)",431996,0.287586621,268.3322407
14:48:50,image_108,"(50.0, 9.0, 45.51952)","(39.0, 3.0, 3.9893)",432076,0.293026049,267.7937794
14:49:20,image_109,"(50.0, 37.0, 48.77166)","(36.0, 13.0, 54.78017)",432127,0.313341458,265.8331936
14:49:50,image_110,"(51.0, 1.0, 11.12851)","(33.0, 22.0, 37.80055)",432150,0.477020829,248.3324897
14:50:20,image_111,"(51.0, 20.0, 2.23609)","(30.0, 27.0, 31.06408)",432144,0.331474491,264.0553404
14:50:50,image_112,"(51.0, 34.0, 1.87576)","(27.0, 31.0, 5.81236)",432109,0.399505299,257.0752946
14:51:20,image_113,"(51.0, 43.0, 11.95144)","(24.0, 32.0, 42.87764)",432045,0.315491731,265.6500404
14:51:50,image_114,"(51.0, 47.0, 26.48414)","(21.0, 33.0, 47.78654)",431951,0.440404847,252.627688
14:52:20,image_115,"(51.0, 46.0, 44.64721)","(18.0, 34.0, 0.91524)",431827,0.6877788,218.3687077
14:52:50,image_116,"(51.0, 41.0, 5.82126)","(15.0, 34.0, 51.20479)",431674,0.42040855,254.9366355
14:53:24,image_117,"(51.0, 28.0, 45.27322)","(12.0, 13.0, 3.80107)",431466,0.350186677,262.3937987
14:53:54,image_118,"(51.0, 12.0, 44.7691)","(9.0, 17.0, 22.24913)",431252,0.336267399,263.8532389
14:54:24,image_119,"(50.0, 51.0, 59.86001)","(6.0, 23.0, 53.46029)",431010,0.348886906,262.6637483
14:54:54,image_120,"(50.0, 26.0, 34.15996)","(3.0, 32.0, 51.68981)",430739,0.342246656,263.413708
14:55:24,image_121,"(49.0, 56.0, 49.27128)","(0.0, 46.0, 4.48297)",430443,0.3323769,264.4872355
14:55:54,image_122,"(49.0, 22.0, 39.49154)","(1.0, 57.0, 34.73238)",430120,0.324165836,265.3963344
14:56:24,image_123,"(48.0, 44.0, 25.48144)","(4.0, 36.0, 53.7378)",429773,0.318396989,266.0682263
14:56:54,image_124,"(48.0, 2.0, 20.79532)","(7.0, 11.0, 34.80205)",429403,0.335064685,264.5404062
14:57:24,image_125,"(47.0, 16.0, 29.77756)","(9.0, 41.0, 55.8097)",429009,0.301385343,267.9513348
14:57:54,image_126,"(46.0, 26.0, 59.56739)","(12.0, 8.0, 0.65472)",428593,0.285117063,269.6285644
14:58:24,image_127,"(45.0, 34.0, 14.35958)","(14.0, 29.0, 9.38987)",428158,0.424396359,255.5398026
14:58:54,image_128,"(44.0, 38.0, 34.57086)","(16.0, 45.0, 6.00095)",427706,0.492696107,247.7274206
14:59:24,image_129,"(43.0, 39.0, 46.50019)","(18.0, 56.0, 55.37944)",427235,0.402949231,258.1660362
14:59:54,image_130,"(42.0, 38.0, 8.4107)","(21.0, 4.0, 22.00505)",426749,0.341120049,264.755518
15:00:24,image_131,"(41.0, 34.0, 1.37251)","(23.0, 7.0, 11.86187)",426249,0.336746087,265.3493157
15:00:54,image_132,"(40.0, 27.0, 35.46846)","(25.0, 5.0, 36.10709)",425737,0.344982588,264.6806648
15:49:44,image_133,"(34.0, 31.0, 6.65472)","(157.0, 55.0, 30.35748)",422968,0.3958078,260.2374089
15:50:14,image_134,"(33.0, 13.0, 15.07958)","(156.0, 18.0, 26.68536)",422758,0.345491538,265.5599648
15:50:44,image_135,"(31.0, 54.0, 28.1939)","(154.0, 45.0, 2.70864)",422549,0.26309448,273.617655
15:51:14,image_136,"(30.0, 33.0, 57.48217)","(153.0, 14.0, 1.56552)",422342,0.278850482,272.2098879
15:51:44,image_137,"(29.0, 12.0, 23.57978)","(151.0, 45.0, 52.72056)",422139,0.397546436,260.3052092
15:52:14,image_138,"(27.0, 49.0, 36.36275)","(150.0, 20.0, 8.20212)",421941,0.368690004,263.4295596
15:52:44,image_139,"(26.0, 25.0, 53.86976)","(148.0, 56.0, 50.90856)",421749,0.378680035,262.4408887
15:53:18,image_140,"(24.0, 49.0, 53.50688)","(147.0, 25.0, 4.69416)",421542,0.349518414,265.5327109
15:53:48,image_141,"(23.0, 24.0, 17.63892)","(146.0, 6.0, 16.15572)",421370,0.405382542,259.6912466
15:54:18,image_142,"(21.0, 57.0, 55.70168)","(144.0, 49.0, 19.0038)",421209,0.388711031,261.5426513
15:54:48,image_143,"(20.0, 30.0, 41.67544)","(143.0, 33.0, 55.76004)",421060,0.383067778,262.1905736
15:55:18,image_144,"(19.0, 2.0, 39.37081)","(142.0, 19.0, 58.55916)",420925,0.359909356,264.6596372
15:55:48,image_145,"(17.0, 34.0, 25.57578)","(141.0, 7.0, 46.54668)",420804,0.447140379,255.1781541
15:56:18,image_146,"(16.0, 5.0, 10.32889)","(139.0, 56.0, 28.24368)",420700,0.357471904,264.9820637
15:56:48,image_147,"(14.0, 35.0, 55.67615)","(138.0, 46.0, 43.014)",420612,0.541707258,243.5424209
15:57:18,image_148,"(13.0, 6.0, 3.20386)","(137.0, 37.0, 50.59488)",420542,0.559760498,241.127791
15:57:48,image_149,"(11.0, 35.0, 43.05736)","(136.0, 29.0, 49.72668)",420491,0.533887502,244.6099044
